Billing Month,Property_Name,Unit_Number,Tenant_Name,Amount Expected,Amount Paid,Payment Date,Collection Status
2026-12,Greenwood Plaza,G1,John Kamau,50000,0,10/12/2026,Unpaid
2026-12,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/12/2026,Unpaid
2026-12,Greenwood Plaza,G3,David Otieno,50000,0,10/12/2026,Unpaid
2026-12,Sunshine Apartments,S1,Alice Mutua,50000,0,10/12/2026,Unpaid
2026-12,Sunshine Apartments,S2,Michael Kimani,50000,0,10/12/2026,Unpaid
2026-12,Sunshine Apartments,S3,Jane Nafula,50000,0,10/12/2026,Unpaid
2026-11,Greenwood Plaza,G1,John Kamau,50000,0,10/11/2026,Unpaid
2026-11,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/11/2026,Unpaid
2026-11,Greenwood Plaza,G3,David Otieno,50000,0,10/11/2026,Unpaid
2026-11,Sunshine Apartments,S1,Alice Mutua,50000,0,10/11/2026,Unpaid
2026-11,Sunshine Apartments,S2,Michael Kimani,50000,0,10/11/2026,Unpaid
2026-11,Sunshine Apartments,S3,Jane Nafula,50000,0,10/11/2026,Unpaid
2026-10,Greenwood Plaza,G1,John Kamau,50000,0,10/10/2026,Unpaid
2026-10,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/10/2026,Unpaid
2026-10,Greenwood Plaza,G3,David Otieno,50000,0,10/10/2026,Unpaid
2026-10,Sunshine Apartments,S1,Alice Mutua,50000,0,10/10/2026,Unpaid
2026-10,Sunshine Apartments,S2,Michael Kimani,50000,0,10/10/2026,Unpaid
2026-10,Sunshine Apartments,S3,Jane Nafula,50000,0,10/10/2026,Unpaid
2026-09,Greenwood Plaza,G1,John Kamau,50000,0,10/09/2026,Unpaid
2026-09,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/09/2026,Unpaid
2026-09,Greenwood Plaza,G3,David Otieno,50000,0,10/09/2026,Unpaid
2026-09,Sunshine Apartments,S1,Alice Mutua,50000,0,10/09/2026,Unpaid
2026-09,Sunshine Apartments,S2,Michael Kimani,50000,0,10/09/2026,Unpaid
2026-09,Sunshine Apartments,S3,Jane Nafula,50000,0,10/09/2026,Unpaid
2026-08,Greenwood Plaza,G1,John Kamau,50000,0,10/08/2026,Unpaid
2026-08,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/08/2026,Unpaid
2026-08,Greenwood Plaza,G3,David Otieno,50000,0,10/08/2026,Unpaid
2026-08,Sunshine Apartments,S1,Alice Mutua,50000,0,10/08/2026,Unpaid
2026-08,Sunshine Apartments,S2,Michael Kimani,50000,0,10/08/2026,Unpaid
2026-08,Sunshine Apartments,S3,Jane Nafula,50000,0,10/08/2026,Unpaid
2026-07,Greenwood Plaza,G1,John Kamau,50000,0,10/07/2026,Unpaid
2026-07,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/07/2026,Unpaid
2026-07,Greenwood Plaza,G3,David Otieno,50000,0,10/07/2026,Unpaid
2026-07,Sunshine Apartments,S1,Alice Mutua,50000,0,10/07/2026,Unpaid
2026-07,Sunshine Apartments,S2,Michael Kimani,50000,0,10/07/2026,Unpaid
2026-07,Sunshine Apartments,S3,Jane Nafula,50000,0,10/07/2026,Unpaid
2026-06,Greenwood Plaza,G1,John Kamau,50000,0,10/06/2026,Unpaid
2026-06,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/06/2026,Unpaid
2026-06,Greenwood Plaza,G3,David Otieno,50000,0,10/06/2026,Unpaid
2026-06,Sunshine Apartments,S1,Alice Mutua,50000,0,10/06/2026,Unpaid
2026-06,Sunshine Apartments,S2,Michael Kimani,50000,0,10/06/2026,Unpaid
2026-06,Sunshine Apartments,S3,Jane Nafula,50000,0,10/06/2026,Unpaid
2026-05,Greenwood Plaza,G1,John Kamau,50000,0,10/05/2026,Unpaid
2026-05,Greenwood Plaza,G2,Sarah Wanjiku,50000,0,10/05/2026,Unpaid
2026-05,Greenwood Plaza,G3,David Otieno,50000,0,10/05/2026,Unpaid
2026-05,Sunshine Apartments,S1,Alice Mutua,50000,50000,06/05/2026,Paid
2026-05,Sunshine Apartments,S1,Alice Mutua,50000,0,10/05/2026,Unpaid
2026-05,Sunshine Apartments,S2,Michael Kimani,50000,0,10/05/2026,Unpaid
2026-05,Sunshine Apartments,S3,Jane Nafula,50000,0,10/05/2026,Unpaid
2026-04,Greenwood Plaza,G1,John Kamau,50000,50000,10/04/2026,Paid
2026-04,Greenwood Plaza,G2,Sarah Wanjiku,50000,50000,10/04/2026,Paid
2026-04,Greenwood Plaza,G3,David Otieno,50000,50000,10/04/2026,Paid
